Customer_ID,Age,Gender,Membership_Type,Credit_Card_Open_Date,Credit_Card_Closed_Date,Credit_Card_Limit,Credit_Card_APR
99610,46,Male,Prime,2023-10-03,,175000,30.31
22456,39,Male,Prime,2024-12-15,,290000,33.72
63403,18,Male,Non-Prime,2022-06-07,,246000,34.96
72905,51,Female,Non-Prime,2024-05-01,,220000,33.89
76339,27,Male,Non-Prime,2022-07-23,,131000,30.42
11966,18,Male,Prime,2024-04-24,,131000,32.98
98332,57,Female,Non-Prime,2023-10-20,,112000,31.74
18341,18,Female,Prime,2025-01-12,,273000,33.51
90680,21,Male,Prime,2023-02-03,,220000,29.07
16606,55,Male,Non-Prime,2026-06-14,,242000,32.47
33822,32,Male,Prime,2024-12-20,,104000,33.42
78966,38,Male,Non-Prime,,,,
65136,56,Male,Prime,2024-08-23,,266000,34.75
49375,31,Female,Prime,2023-07-10,,142000,28.41
70239,33,Male,Prime,2025-02-17,2025-12-20,136000,30.42
73325,35,Female,Prime,,,,
39660,27,Male,Prime,2025-07-02,,161000,30.17
30475,38,Male,Prime,,,,
57943,49,Female,Non-Prime,2024-02-26,,186000,29.23
96435,33,Male,Prime,2023-11-14,,158000,33.69
92392,48,Male,Prime,2026-05-18,,222000,34.36
28093,56,Female,Non-Prime,2024-10-09,,128000,28.58
44534,44,Male,Prime,2024-07-07,,158000,29.08
34954,44,Male,Prime,2022-02-19,,173000,29.6
20365,39,Male,Prime,2023-04-20,,191000,31.56
50550,41,Male,Non-Prime,,,,
21746,60,Female,Prime,2024-08-15,,140000,28.5
73096,37,Male,Prime,2025-10-16,2026-07-02,203000,32.46
36135,44,Male,Non-Prime,2026-01-05,,218000,29.05
71241,46,Male,Non-Prime,2026-02-15,,109000,34.8
82481,20,Male,Non-Prime,2022-03-20,2022-04-23,222000,34.29
24664,37,Male,Non-Prime,2025-02-19,,134000,34.65
23943,39,Male,Prime,2026-03-20,2026-04-09,113000,28.74
15711,52,Male,Prime,2024-10-18,2026-04-02,290000,31.42
60980,30,Male,Prime,2022-08-23,2025-04-24,293000,29.16
37753,37,Male,Non-Prime,2025-12-11,,262000,32.2
14199,60,Female,Prime,,,,
77898,48,Female,Non-Prime,2025-08-07,,120000,33.39
82360,40,Male,Prime,2022-03-12,,237000,32.51
33561,33,Male,Prime,2024-01-01,,188000,32
34724,35,Female,Prime,,,,
39261,39,Male,Non-Prime,2023-07-14,,199000,31.5
19146,19,Male,Prime,2022-07-25,2025-02-25,107000,29.89
71712,38,Male,Non-Prime,2022-03-05,,282000,32.34
36217,34,Female,Prime,2025-11-03,,152000,34.7
36969,52,Male,Prime,2026-03-01,2026-04-27,233000,32.21
50859,33,Male,Prime,2024-12-22,,162000,32.41
43480,58,Male,Non-Prime,2025-10-05,,204000,34.54
34199,48,Female,Non-Prime,2025-01-04,,209000,31.61
97038,31,Female,Non-Prime,2023-11-26,,137000,34.97
24943,44,Male,Non-Prime,2022-11-18,,294000,29.12
38112,22,Female,Prime,,,,
97810,53,Male,Non-Prime,2025-03-26,,288000,29.49
70756,53,Female,Non-Prime,2023-06-10,,279000,31.17
71935,42,Male,Non-Prime,2024-08-27,,220000,29.19
14645,32,Male,Prime,2025-09-13,,284000,29.56
21436,36,Male,Prime,2024-12-22,2025-04-11,118000,29.48
21863,40,Male,Non-Prime,,,,
74737,45,Male,Non-Prime,2025-10-21,,109000,28.94
99303,58,Male,Non-Prime,,,,
57228,22,Female,Prime,2023-05-18,,178000,29.54
66380,51,Male,Prime,2022-09-20,,154000,30.92
47657,44,Male,Prime,2023-08-26,2024-06-06,266000,28.11
44516,58,Female,Prime,2022-07-17,,171000,28.73
